* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_R.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_R.wav
* Measurement: captured_sweep_R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
97.045898 55.583 177.1978
97.412109 54.217 170.0970
97.778320 52.490 170.1526
98.144531 51.602 177.0535
98.510742 52.030 -178.9348
98.876953 52.569 176.9576
99.243164 52.291 168.0613
99.609375 50.846 159.3658
99.975586 48.185 158.2200
100.341797 45.951 176.0249
100.708008 47.642 -163.6384
101.074219 50.302 -162.6230
101.440430 51.885 -170.4797
101.806641 52.414 -179.6512
102.172852 52.210 173.7393
102.539062 51.769 171.7777
102.905273 51.696 173.4166
103.271484 52.131 174.6222
103.637695 52.629 173.2742
104.003906 52.811 170.7067
104.370117 52.658 169.2111
104.736328 52.439 169.9381
105.102539 52.431 171.7026
105.468750 52.547 172.3213
105.834961 52.430 171.5575
106.201172 51.847 171.7087
106.567383 51.013 176.2960
106.933594 50.793 -173.8529
107.299805 51.751 -165.4641
107.666016 53.097 -164.1434
108.032227 53.999 -168.3318
108.398438 54.180 -174.6923
108.764648 53.644 179.7073
109.130859 52.592 177.6038
109.497070 51.560 -179.1715
109.863281 51.260 -172.8217
110.229492 51.705 -169.0343
110.595703 52.224 -169.8895
110.961914 52.353 -173.4569
111.328125 52.009 -177.0444
111.694336 51.371 -178.4075
112.060547 50.846 -176.6948
112.426758 50.824 -173.7949
112.792969 51.249 -172.9689
113.159180 51.713 -175.3700
113.525391 51.900 -179.8289
113.891602 51.718 175.5842
114.257812 51.273 172.6853
114.624023 50.850 172.4022
114.990234 50.765 173.6975
115.356445 51.036 174.1031
115.722656 51.337 172.4021
116.088867 51.344 169.6827
116.455078 50.957 168.4502
116.821289 50.444 171.4851
117.187500 50.507 178.9731
117.553711 51.557 -174.3208
117.919922 53.025 -172.8896
118.286133 54.233 -175.9481
118.652344 54.920 179.0894
119.018555 55.088 174.5215
119.384766 54.900 172.0818
119.750977 54.651 172.5297
120.117188 54.646 174.9104
120.483398 54.942 177.0927
120.849609 55.332 177.8462
121.215820 55.617 177.5481
121.582031 55.756 177.1477
121.948242 55.832 177.1292
