* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_L.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_L.wav
* Measurement: captured_sweep_L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
92.285156 52.538 22.1665
92.651367 52.605 15.5609
93.017578 52.439 10.8649
93.383789 52.286 7.8784
93.750000 52.272 5.2240
94.116211 52.267 1.4305
94.482422 51.971 -3.6813
94.848633 51.068 -8.5314
95.214844 49.359 -9.1621
95.581055 47.380 2.2172
95.947266 47.774 24.9260
96.313477 50.596 35.4962
96.679688 53.114 32.4521
97.045898 54.664 23.5367
97.412109 55.293 12.8464
97.778320 55.109 2.7684
98.144531 54.255 -4.5933
98.510742 53.038 -7.1185
98.876953 52.067 -4.2567
99.243164 51.856 0.2791
99.609375 52.109 1.9576
99.975586 52.231 0.8354
100.341797 52.025 -0.2874
100.708008 51.765 0.8986
101.074219 51.944 3.6302
101.440430 52.651 4.1902
101.806641 53.420 0.5367
102.172852 53.806 -6.1885
102.539062 53.617 -13.5931
102.905273 52.886 -19.0081
103.271484 51.927 -19.9519
103.637695 51.382 -16.2977
104.003906 51.632 -12.4520
104.370117 52.210 -12.2891
104.736328 52.521 -14.9060
105.102539 52.395 -17.2954
105.468750 52.088 -16.9578
105.834961 52.112 -14.1729
106.201172 52.652 -12.6470
106.567383 53.262 -15.0659
106.933594 53.419 -20.5884
107.299805 52.845 -26.5770
107.666016 51.513 -29.4623
108.032227 49.875 -24.8783
108.398438 49.216 -12.8398
108.764648 50.024 -3.8025
109.130859 51.009 -2.7555
109.497070 51.346 -5.7866
109.863281 50.959 -8.3679
110.229492 50.189 -7.1106
110.595703 49.721 -1.3752
110.961914 50.009 4.8103
111.328125 50.693 7.5660
111.694336 51.272 7.3591
