"Sens Factor =0.532dB, AGain =18dB, SERNO: 7101790"
"Auto-generated 90-degree calibration file"
3168.192	0.1013
3207.632	0.1106
3247.563	0.1198
3287.991	0.1286
3328.923	0.1376
3370.364	0.1466
3412.320	0.1559
3454.799	0.1656
3497.807	0.1757
3541.351	0.1865
3585.436	0.1979
3630.070	0.2097
3675.260	0.2220
3721.012	0.2346
3767.334	0.2476
3814.233	0.2612
3861.715	0.2750
3909.789	0.2893
3958.460	0.3037
4007.738	0.3182
4057.630	0.3327
4108.142	0.3466
4159.283	0.3605
4211.061	0.3744
4263.483	0.3884
4316.559	0.4027
4370.294	0.4172
4424.699	0.4319
4479.781	0.4466
4535.548	0.4613
4592.010	0.4757
4649.175	0.4898
4707.051	0.5037
4765.648	0.5173
4824.975	0.5305
4885.039	0.5419
4945.852	0.5524
5007.421	0.5625
5069.757	0.5720
5132.870	0.5806
5196.768	0.5872
5261.460	0.5929
5326.959	0.5973
5393.273	0.6003
5460.413	0.6016
5528.388	0.6011
5597.209	0.5989
5666.887	0.5948
5737.433	0.5894
5808.857	0.5831
5881.169	0.5757
5954.383	0.5673
6028.507	0.5581
6103.555	0.5481
6179.536	0.5375
6256.464	0.5264
6334.349	0.5150
6413.204	0.5034
6493.040	0.4917
6573.870	0.4798
6655.706	0.4676
6738.562	0.4551
6822.448	0.4418
6907.379	0.4279
6993.367	0.4127
7080.426	0.3960
7168.568	0.3772
7257.808	0.3561
7348.158	0.3326
7439.633	0.3054
7532.248	0.2738
7626.015	0.2371
7720.949	0.1966
7817.065	0.1536
7914.377	0.1086
8012.901	0.0619
8112.652	0.0132
8213.645	-0.0364
8315.894	-0.0888
8419.416	-0.1449
8524.228	-0.2050
8630.343	-0.2701
8737.780	-0.3402
8846.555	-0.4142
8956.683	-0.4914
9068.182	-0.5708
9181.069	-0.6518
9295.362	-0.7339
9411.078	-0.8171
9528.233	-0.9017
9646.849	-0.9883
9766.939	-1.0778
9888.525	-1.1703
10011.625	-1.2656
10136.257	-1.3641
10262.440	-1.4657
10390.195	-1.5691
10519.540	-1.6756
10650.495	-1.7850
10783.080	-1.8970
10917.316	-2.0115
11053.223	-2.1282
11190.821	-2.2472
11330.133	-2.3684
11471.179	-2.4917
11613.980	-2.6163
11758.561	-2.7424
11904.939	-2.8694
12053.141	-2.9967
12203.188	-3.1238
12355.102	-3.2497
12508.907	-3.3742
12664.627	-3.4968
12822.286	-3.6180
12981.907	-3.7387
13143.516	-3.8599
13307.136	-3.9823
13472.793	-4.1060
13640.512	-4.2306
13810.319	-4.3547
13982.240	-4.4780
14156.302	-4.6002
14332.529	-4.7200
14510.951	-4.8369
14691.595	-4.9511
14874.486	-5.0644
15059.655	-5.1773
15247.129	-5.2901
15436.937	-5.4025
15629.106	-5.5148
15823.669	-5.6271
16020.654	-5.7394
16220.091	-5.8512
16422.010	-5.9620
16626.443	-6.0716
