* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
101.074219 31.444 -101.9226
101.440430 32.030 -70.1487
101.806641 34.617 -63.6003
102.172852 35.891 -68.7219
102.539062 36.046 -75.7742
102.905273 35.589 -81.2534
103.271484 35.087 -84.4712
103.637695 35.006 -87.5205
104.003906 35.401 -93.6240
104.370117 36.017 -104.2021
104.736328 36.607 -118.5710
105.102539 36.978 -135.0977
105.468750 36.892 -151.7759
105.834961 35.996 -165.8523
106.201172 33.857 -171.1086
106.567383 31.673 -150.7446
106.933594 35.139 -122.3792
107.299805 39.791 -122.0203
107.666016 42.874 -132.8035
108.032227 44.551 -146.4993
108.398438 44.983 -159.8220
108.764648 44.208 -169.7393
109.130859 42.425 -170.7468
109.497070 41.261 -156.4421
109.863281 42.954 -141.8855
110.229492 45.305 -142.6025
110.595703 46.630 -152.3010
110.961914 46.698 -165.3513
111.328125 45.445 -178.5469
111.694336 42.681 171.8174
112.060547 38.360 175.0798
112.426758 35.842 -155.8022
112.792969 37.827 -140.5776
113.159180 38.856 -147.6472
113.525391 37.813 -162.8230
113.891602 34.399 179.0164
114.257812 26.985 162.8333
114.624023 15.224 -112.7354
114.990234 25.274 -108.8159
115.356445 28.385 -154.5930
115.722656 31.757 155.7712
116.088867 34.873 118.1699
116.455078 36.468 89.6653
116.821289 36.160 66.1421
117.187500 33.235 46.2388
117.553711 23.385 35.3171
117.919922 27.090 178.8188
118.286133 34.982 168.7988
118.652344 38.029 158.2925
119.018555 39.230 151.5588
119.384766 39.634 149.8628
119.750977 40.004 151.7659
120.117188 40.540 153.1614
120.483398 40.780 151.8923
120.849609 40.197 149.9380
121.215820 38.607 152.8630
121.582031 37.075 169.0608
121.948242 38.281 -169.9946
122.314453 40.787 -164.5730
122.680664 42.406 -170.0610
123.046875 42.813 -179.1431
123.413086 42.130 173.1277
123.779297 40.872 171.8645
124.145508 40.545 178.4133
124.511719 42.057 -179.1836
124.877930 43.977 171.7659
125.244141 45.296 155.1641
125.610352 45.772 135.2449
125.976562 45.265 115.0247
126.342773 43.483 97.8972
126.708984 39.931 92.3054
127.075195 37.056 122.3381
127.441406 41.318 146.5720
127.807617 45.009 141.7158
128.173828 46.805 130.6760
128.540039 47.181 121.4160
128.906250 46.714 119.1318
129.272461 46.708 126.0383
129.638672 48.236 132.8145
130.004883 50.207 130.8848
130.371094 51.519 122.7627
130.737305 51.888 112.7356
131.103516 51.349 104.3123
131.469727 50.185 100.9836
131.835938 49.205 104.7207
132.202148 49.286 110.4075
132.568359 49.921 110.5698
132.934570 50.080 105.5310
133.300781 49.278 99.7146
133.666992 47.517 99.1506
134.033203 45.900 110.8069
134.399414 46.641 126.8948
134.765625 48.613 130.6233
135.131836 49.932 125.0654
135.498047 50.238 116.6140
135.864258 49.618 109.5010
136.230469 48.373 107.4231
136.596680 47.263 112.9395
136.962891 47.281 122.4744
137.329102 48.283 128.4788
137.695312 49.453 129.6448
138.061523 50.477 128.1536
138.427734 51.370 125.2246
138.793945 52.133 120.9893
139.160156 52.670 115.6191
139.526367 52.869 109.9939
139.892578 52.716 105.6682
140.258789 52.396 104.3184
140.625000 52.334 106.2102
140.991211 52.856 108.5940
141.357422 53.742 108.0649
141.723633 54.503 104.0876
142.089844 54.825 98.2852
142.456055 54.622 92.8230
142.822266 54.007 89.8691
143.188477 53.339 90.8926
143.554688 53.129 94.7295
143.920898 53.501 97.3674
144.287109 54.003 96.2737
144.653320 54.162 92.1506
145.019531 53.735 87.0715
145.385742 52.650 83.5898
145.751953 51.053 85.0896
146.118164 49.683 94.9480
146.484375 49.850 109.2781
146.850586 51.393 117.0867
147.216797 53.050 116.2319
147.583008 54.262 109.8938
147.949219 54.932 100.5029
148.315430 55.056 89.4998
148.681641 54.627 77.9951
149.047852 53.621 67.3162
149.414062 52.052 59.5947
149.780273 50.189 58.2415
